t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5499334999999747,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.526857399999949,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5541556999999898,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5364084999999591,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3403528999999935,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4543145999999979,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5324354000000199,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5093745000000013,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.49188580000000004,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.49704729999998565,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.43465920000002145,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5187727999999879,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5162740999999983,1,1,116,191121_162108,1
